,Model,Threshold,Coverage,Precision,Recall,F1 score,ROC AUC
0,random_forest_model_v2,0.5,0.463394744,0.520038397,0.475915081,0.49699935,0.517900292
1,random_forest_model_v2,0.52,0.341735553,0.534982102,0.361054173,0.431137725,0.517900292
2,random_forest_model_v2,0.54,0.237127924,0.542910739,0.254245974,0.346313008,0.517900292
3,random_forest_model_v2,0.56,0.153834748,0.542168675,0.164714495,0.252667041,0.517900292
4,random_forest_model_v2,0.58,0.094006005,0.53351735,0.099048316,0.167078291,0.517900292
5,random_forest_model_v2,0.6,0.057975312,0.540920716,0.06193265,0.111140305,0.517900292
6,random_forest_model_v2,0.62,0.033621233,0.525909592,0.034919473,0.065490492,0.517900292
7,random_forest_model_v2,0.64,0.01897913,0.56640625,0.021229868,0.040925769,0.517900292
8,random_forest_model_v2,0.66,0.00963784,0.561538462,0.010688141,0.020977011,0.517900292
9,random_forest_model_v2,0.68,0.003929273,0.594339623,0.004612006,0.009152986,0.517900292
0,xgb_classifier_model_v2,0.5,0.350446677,0.501480855,0.347071742,0.410227568,0.501048121
1,xgb_classifier_model_v2,0.52,0.280905957,0.50145157,0.27818448,0.357849138,0.501048121
2,xgb_classifier_model_v2,0.54,0.212180747,0.506114605,0.212079063,0.298906314,0.501048121
3,xgb_classifier_model_v2,0.56,0.162360529,0.49109589,0.157467057,0.238470067,0.501048121
4,xgb_classifier_model_v2,0.58,0.116247174,0.480548469,0.110322108,0.179447487,0.501048121
5,xgb_classifier_model_v2,0.6,0.075619973,0.502941176,0.07510981,0.130700637,0.501048121
6,xgb_classifier_model_v2,0.62,0.0494866,0.51011236,0.049853587,0.090830277,0.501048121
7,xgb_classifier_model_v2,0.64,0.034177262,0.5,0.03374817,0.063228638,0.501048121
8,xgb_classifier_model_v2,0.66,0.028654039,0.498059508,0.02818448,0.053349962,0.501048121
9,xgb_classifier_model_v2,0.68,0.025910961,0.510729614,0.0261347,0.049724911,0.501048121
0,voting_classifier_v2,0.5,0.374281796,0.517282361,0.382357247,0.439701983,0.510586684
1,voting_classifier_v2,0.52,0.270675019,0.509586415,0.272401171,0.355023376,0.510586684
2,voting_classifier_v2,0.54,0.192274901,0.510121457,0.193704246,0.280787393,0.510586684
3,voting_classifier_v2,0.56,0.129258257,0.507026097,0.12942899,0.206216831,0.510586684
4,voting_classifier_v2,0.58,0.087148312,0.505316886,0.086969253,0.148397976,0.510586684
5,voting_classifier_v2,0.6,0.056789117,0.528720627,0.059297218,0.106635071,0.510586684
6,voting_classifier_v2,0.62,0.036697928,0.528282828,0.038286969,0.071399317,0.510586684
7,voting_classifier_v2,0.64,0.023019609,0.523349436,0.023792094,0.04551502,0.510586684
8,voting_classifier_v2,0.66,0.013789524,0.510752688,0.013909224,0.027080958,0.510586684
9,voting_classifier_v2,0.68,0.006524076,0.494318182,0.00636896,0.012575889,0.510586684
