,mean_precision,mean_recall,mean_roc_auc,mean_f1_score,mean_coverage,std_precision,std_recall,std_roc_auc,std_f1_score,std_coverage,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,qual
0,0.606369202,0.177970552,0.537714147,0.259596141,0.170656773,0.090558214,0.092274488,0.032181135,0.110834572,0.094208125,3,0.03,150,0.8,0.8,FAIL
1,0.598714419,0.186880484,0.538408267,0.267045529,0.179093988,0.080614122,0.103877023,0.03310572,0.126354644,0.102354535,3,0.03,150,0.8,1,FAIL
2,0.611442571,0.177108607,0.536214522,0.257499231,0.168761356,0.086497792,0.096634503,0.032349844,0.118056135,0.09830957,3,0.03,150,1,0.8,FAIL
3,0.606759937,0.188504477,0.533150853,0.268294597,0.179698898,0.086667418,0.10727896,0.034782468,0.12957699,0.105731907,3,0.03,150,1,1,FAIL
4,0.599102835,0.202492049,0.539052884,0.288422391,0.192711237,0.069498782,0.094041772,0.031102535,0.105567247,0.094379706,3,0.03,250,0.8,0.8,FAIL
5,0.598559208,0.210341269,0.539875877,0.292848413,0.19996077,0.066174568,0.110289465,0.034255209,0.1268004,0.108340406,3,0.03,250,0.8,1,FAIL
6,0.607629215,0.198583924,0.538961556,0.285402894,0.187063245,0.069719502,0.091623369,0.031182148,0.104386723,0.092928767,3,0.03,250,1,0.8,FAIL
7,0.600526443,0.207470559,0.539463119,0.290312388,0.196308097,0.063656047,0.109610854,0.031734861,0.12601056,0.106503591,3,0.03,250,1,1,FAIL
8,0.602069308,0.217232782,0.539871257,0.304830268,0.204425105,0.062433115,0.098175497,0.030700981,0.105716551,0.096350412,3,0.03,350,0.8,0.8,FAIL
9,0.599751575,0.225447236,0.539534255,0.309920449,0.21245578,0.061353391,0.1120291,0.034402194,0.123447713,0.108142459,3,0.03,350,0.8,1,FAIL
10,0.609301908,0.209674933,0.541391272,0.297752831,0.196134325,0.063939416,0.094799096,0.032951118,0.105157291,0.094813294,3,0.03,350,1,0.8,FAIL
11,0.603105694,0.223212549,0.53982322,0.307412796,0.209529463,0.059594037,0.113591924,0.033325157,0.125161154,0.109403468,3,0.03,350,1,1,FAIL
12,0.603805866,0.209129717,0.543416771,0.297329822,0.197322766,0.069291185,0.090429879,0.03369033,0.103253921,0.091039923,3,0.05,150,0.8,0.8,FAIL
13,0.597659654,0.21276574,0.540676385,0.296203603,0.201633398,0.063685473,0.110795482,0.036068402,0.124604581,0.106583664,3,0.05,150,0.8,1,FAIL
14,0.606071796,0.203032396,0.538299478,0.286673984,0.192812445,0.079669602,0.103877047,0.030811031,0.117359127,0.103091693,3,0.05,150,1,0.8,FAIL
15,0.601600513,0.21074037,0.538738359,0.294857221,0.19824621,0.064941001,0.109053292,0.03310569,0.123873931,0.104339658,3,0.05,150,1,1,FAIL
16,0.605950384,0.228512098,0.541320401,0.317216918,0.213706498,0.066286531,0.098997302,0.034308194,0.105820622,0.097655848,3,0.05,250,0.8,0.8,FAIL
17,0.60251342,0.233727487,0.541789688,0.318988753,0.219297934,0.06017123,0.11384115,0.035641924,0.121276891,0.109867167,3,0.05,250,0.8,1,FAIL
18,0.60740343,0.221849256,0.540484904,0.309023638,0.207562,0.065107275,0.103942336,0.03476681,0.112342769,0.100998225,3,0.05,250,1,0.8,FAIL
19,0.601411182,0.23300343,0.537313293,0.316987775,0.218136675,0.056545628,0.119016203,0.035324372,0.128190954,0.112802452,3,0.05,250,1,1,FAIL
20,0.605965474,0.233847441,0.541051432,0.322561761,0.218385194,0.063431676,0.100855143,0.03232363,0.104344153,0.099253907,3,0.05,350,0.8,0.8,FAIL
21,0.60256019,0.241939199,0.540324509,0.328730772,0.226664127,0.059264646,0.110046179,0.033867093,0.114328037,0.106840327,3,0.05,350,0.8,1,FAIL
22,0.608848825,0.229353793,0.542128777,0.317359754,0.213648601,0.059741171,0.103965726,0.031258247,0.110501301,0.101447353,3,0.05,350,1,0.8,FAIL
23,0.601578694,0.237126498,0.538667477,0.322817106,0.222186821,0.055860035,0.113355561,0.03339686,0.118354846,0.108323234,3,0.05,350,1,1,FAIL
24,0.608336842,0.236454501,0.541120516,0.326316734,0.2198515,0.057331985,0.099738515,0.030218846,0.105827696,0.096814137,3,0.1,150,0.8,0.8,FAIL
25,0.607534855,0.236246756,0.541640914,0.321762384,0.219465446,0.057721996,0.116380019,0.033773297,0.126328491,0.111180874,3,0.1,150,0.8,1,FAIL
26,0.614039496,0.23310468,0.546008444,0.320644759,0.21499753,0.064755233,0.109975414,0.034316393,0.120774989,0.105630999,3,0.1,150,1,0.8,FAIL
27,0.6011311,0.243309977,0.536194843,0.32563604,0.228152801,0.063021632,0.127131146,0.034329387,0.133174698,0.120880575,3,0.1,150,1,1,FAIL
28,0.601185471,0.243682019,0.540089616,0.334439401,0.22804501,0.058901837,0.095057797,0.025548678,0.097383693,0.092084961,3,0.1,250,0.8,0.8,FAIL
29,0.603668125,0.252205062,0.539827286,0.337461286,0.235374794,0.057415797,0.119067816,0.031514471,0.122078107,0.1146432,3,0.1,250,0.8,1,FAIL
30,0.613205033,0.245756468,0.545223219,0.335351817,0.226199629,0.057037774,0.106869785,0.032079816,0.1096635,0.102651145,3,0.1,250,1,0.8,FAIL
31,0.599865379,0.255277988,0.53951175,0.338212326,0.239597697,0.05541255,0.12678175,0.02871881,0.128007111,0.121055568,3,0.1,250,1,1,FAIL
