,model_name,precision,recall,f1_score,roc_auc,coverage,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,Test_Year
0,XG Boost Classifier,0.5842696629213483,0.2713248638838475,0.370565453137103,0.5669260774003468,0.2409085559609274,3,0.03,150,0.8,0.8,2019
1,XG Boost Classifier,0.6142139267767408,0.2714294778250111,0.37648508316465723,0.5886788952734485,0.2632076184717708,3,0.03,150,0.8,0.8,2020
2,XG Boost Classifier,0.555992141453831,0.1542549567350276,0.24150621366472877,0.5256610768269347,0.15345191438046427,3,0.03,150,0.8,0.8,2021
3,XG Boost Classifier,0.4758494590888313,0.22581344902386116,0.3062815672044329,0.5145820564728844,0.2473243895085921,3,0.03,150,0.8,0.8,2022
4,XG Boost Classifier,0.7342657342657343,0.06903765690376569,0.12620881822652025,0.5110412859660486,0.059540482228699045,3,0.03,150,0.8,0.8,2023
5,XG Boost Classifier,0.6736242884250474,0.07596291012838802,0.1365297096339978,0.5193954927770656,0.059507678410117434,3,0.03,150,0.8,0.8,2024
6,XG Boost Classifier,0.5779508321881204,0.286222020568663,0.3828452940878977,0.5706930542850494,0.2569142050135342,3,0.03,150,0.8,1.0,2019
7,XG Boost Classifier,0.6298957452803606,0.2836748937250175,0.39118071656677894,0.5896031744295355,0.26823369359836746,3,0.03,150,0.8,1.0,2020
8,XG Boost Classifier,0.5628553379658876,0.18212168699325476,0.27519818799547,0.5202565870400752,0.1789644256858607,3,0.03,150,0.8,1.0,2021
9,XG Boost Classifier,0.48680057388809184,0.2453362255965293,0.32625000000000004,0.5101786107963182,0.26266204401567683,3,0.03,150,0.8,1.0,2022
10,XG Boost Classifier,0.7300257731958762,0.06772265391512254,0.12394705174488568,0.5209022321638708,0.0587455997577501,3,0.03,150,0.8,1.0,2023
11,XG Boost Classifier,0.6047582501918649,0.05620542082738944,0.10285192194739932,0.5188159407959029,0.04904396266184884,3,0.03,150,0.8,1.0,2024
12,XG Boost Classifier,0.5923704814259537,0.2689050211736237,0.36989649971394395,0.5644567613886055,0.2354948805460751,3,0.03,150,1.0,0.8,2019
13,XG Boost Classifier,0.6178057553956835,0.26153162870376245,0.36749431640886193,0.5876956567272364,0.2521351371778399,3,0.03,150,1.0,0.8,2020
14,XG Boost Classifier,0.5723814229249012,0.15786604892007902,0.24747663551401866,0.5262694953041244,0.1525474826650588,3,0.03,150,1.0,0.8,2021
15,XG Boost Classifier,0.4826271186440678,0.24707158351409977,0.32682926829268294,0.5116748920665238,0.26680735604461864,3,0.03,150,1.0,0.8,2022
16,XG Boost Classifier,0.7376543209876543,0.07142857142857142,0.1302452316076294,0.5081059534919129,0.061319504901775235,3,0.03,150,1.0,0.8,2023
17,XG Boost Classifier,0.6658163265306123,0.05584878744650499,0.10305343511450381,0.5190843707950343,0.044263775971093045,3,0.03,150,1.0,0.8,2024
18,XG Boost Classifier,0.5743789716926632,0.30074107683000606,0.39477863807822117,0.5671286278962179,0.27162527951041543,3,0.03,150,1.0,1.0,2019
19,XG Boost Classifier,0.6390761727155357,0.2826597297125817,0.3919584726376913,0.5854863960842142,0.2634343587030459,3,0.03,150,1.0,1.0,2020
20,XG Boost Classifier,0.5698808234019501,0.1791919329563262,0.27265187642546135,0.5210639546478255,0.1739146819415134,3,0.03,150,1.0,1.0,2021
21,XG Boost Classifier,0.48264626717665393,0.24634851771511207,0.32620039255110345,0.5068113896578031,0.2660159782936388,3,0.03,150,1.0,1.0,2022
22,XG Boost Classifier,0.7408111533586819,0.0698744769874477,0.12770373607166266,0.5000105985941625,0.05972973995987736,3,0.03,150,1.0,1.0,2023
23,XG Boost Classifier,0.6337662337662338,0.0522111269614836,0.09647446457990118,0.5184041497482762,0.04347335140018067,3,0.03,150,1.0,1.0,2024
24,XG Boost Classifier,0.5823139277818717,0.2987749546279492,0.3949222849717627,0.5624264912611119,0.26617237456357146,3,0.03,250,0.8,0.8,2019
